"probe_id","symbol"
"516_at","ATP5MC1"
"517_at","ATP5MC2"
"518_at_AB_24:33","ATP5MC3"
"518_at_AB_1:23","ATP5MC3"
"521_at","ATP5ME"
"522_at","ATP5PF"
"523_at_AB_1:16","ATP6V1A"
"523_at_AB_17:38","ATP6V1A"
"525_at","ATP6V1B1"
"526_at","ATP6V1B2"
"527_at","ATP6V0C"
"528_at_AB_16:37","ATP6V1C1"
"528_at_AB_1:15","ATP6V1C1"
"529_at","ATP6V1E1"
"533_at","ATP6V0B"
"534_at","ATP6V1G2"
"535_at","ATP6V0A1"
"537_at","ATP6AP1"
"538_at","ATP7A"
"539_at","ATP5PO"
"540_at_AB_20:30","ATP7B"
"540_at_AB_1:19","ATP7B"
"541_at","ALDH7A1P1"
"545_at","ATR"
"546_at_AB_32:42;52:75","ATRX"
"546_at_AB_43:51","ATRX"
"546_at_AB_1:11","ATRX"
"546_at_AB_12:31","ATRX"
"547_at","KIF1A"
"549_at","AUH"
"550_at","AUP1"
"551_at","AVP"
"552_at","AVPR1A"
"553_at","AVPR1B"
"554_at","AVPR2"
"558_at_AB_1:11","AXL"
"558_at_AB_12:22","AXL"
"563_at","AZGP1"
"566_at","AZU1"
"567_at","B2M"
"570_at","BAAT"
"571_at","BACH1"
"572_at","BAD"
"573_at_AB_23:33","BAG1"
"573_at_AB_1:22","BAG1"
"575_at","ADGRB1"
"576_at","ADGRB2"
"577_at","ADGRB3"
"578_at","BAK1"
"579_at","NKX3-2"
"580_at","BARD1"
"581_at","BAX"
"582_at_AB_1:29","BBS1"
"582_at_AB_30:40","BBS1"
"583_at","BBS2"
"585_at","BBS4"
"586_at_AB_41:51","BCAT1"
"586_at_AB_1:40","BCAT1"
"587_at","BCAT2"
"590_at","BCHE"
"593_at","BCKDHA"
"594_at","BCKDHB"
"595_at_AB_1:9","CCND1"
"595_at_AB_10:43","CCND1"
"596_at","BCL2"
"597_at","BCL2A1"
"598_at","BCL2L1"
"599_at","BCL2L2"
"602_at_AB_22:32","BCL3"
"602_at_AB_1:21","BCL3"
"604_at_AB_10:21","BCL6"
"604_at_AB_7:9;22:46","BCL6"
"605_at","BCL7A"
"607_at","BCL9"
"608_at","TNFRSF17"
"610_at","HCN2"
"611_at","OPN1SW"
"613_at_AB_57:79","BCR"
"613_at_AB_1:56","BCR"
"617_at","BCS1L"
"622_at","BDH1"
"623_at","BDKRB1"
"624_at","BDKRB2"
"627_at","BDNF"
"629_at","CFB"
"631_at","BFSP1"
"632_at","BGLAP"
"633_at","BGN"
"634_at","CEACAM1"
"635_at","BHMT"
"636_at","BICD1"
"637_at","BID"
"638_at","BIK"
"639_at","PRDM1"
"640_at","BLK"
"641_at","BLM"
"642_at_AB_11:21","BLMH"
"642_at_AB_1:10","BLMH"
"643_at","CXCR5"
"644_at","BLVRA"
"645_at","BLVRB"
"646_at_AB_13:33","BNC1"
"646_at_AB_1:12","BNC1"
"649_at","BMP1"
"650_at","BMP2"
"651_at","BMP3"
"652_at","BMP4"
"653_at","BMP5"
"654_at","BMP6"
"655_at_AB_1:11","BMP7"
"655_at_AB_12:22","BMP7"
"656_at","BMP8B"
"657_at","BMPR1A"
"658_at","BMPR1B"
"659_at","BMPR2"
"660_at","BMX"
"661_at","POLR3D"
"662_at","BNIP1"
"663_at_AB_1:11","BNIP2"
"663_at_AB_12:27","BNIP2"
"665_at_AB_39:46","BNIP3L"
"665_at_AB_1:38","BNIP3L"
"666_at","BOK"
"667_at_AB_12:22","DST"
"667_at_AB_40:41;55:68","DST"
"667_at_AB_1:11","DST"
"667_at_AB_23:39","DST"
"667_at_AB_42:54","DST"
"668_at","FOXL2"
"669_at","BPGM"
"670_at","BPHL"
"671_at","BPI"
"672_at_AB_23:44","BRCA1"
"672_at_AB_1:22","BRCA1"
"673_at","BRAF"
"675_at","BRCA2"
"676_at","BRDT"
"677_at","ZFP36L1"
"678_at","ZFP36L2"
"680_at","BRS3"
"682_at","BSG"
"683_at","BST1"
"684_at","BST2"
"685_at","BTC"
"686_at","BTD"
"687_at","KLF9"
"688_at_AB_1:5","KLF5"
"688_at_AB_6:27","KLF5"
"689_at_AB_14:19","BTF3"
"689_at_AB_1:13","BTF3"
"694_at_AB_2:15","BTG1"
"694_at_AB_1;16:27","BTG1"
"695_at","BTK"
"696_at","BTN1A1"
"699_at","BUB1"
"701_at","BUB1B"
"705_at","BYSL"
"706_at","TSPO"
"708_at","C1QBP"
"710_at","SERPING1"
"711_at","ERC2-IT1"
"712_at","C1QA"
"713_at","C1QB"
"714_at","C1QC"
"715_at","C1R"
"716_at","C1S"
"717_at","C2"
"718_at","C3"
"719_at","C3AR1"
"722_at","C4BPA"
"725_at","C4BPB"
"726_at","CAPN5"
"727_at","C5"
"728_at","C5AR1"
"729_at","C6"
"730_at_AB_8;32:48","C7"
"730_at_AB_1:7","C7"
"730_at_AB_9:31","C7"
"731_at","C8A"
"732_at","C8B"
"733_at","C8G"
"734_at","OSGIN2"
"735_at","C9"
"738_at","VPS51"
"740_at","MRPL49"
"741_at","ZNHIT2"
"744_at","MPPED2"
"745_at","MYRF"
"746_at","TMEM258"
"747_at","DAGLA"
"750_at","GAS8-AS1"
"752_at","FMNL1"
"753_at_AB_23:42","LDLRAD4"
"753_at_AB_1:22","LDLRAD4"
"754_at","PTTG1IP"
"755_at","CFAP410"
"757_at","TMEM50B"
"758_at","MPPED1"
"759_at","CA1"
"760_at","CA2"
"761_at","CA3"
"762_at","CA4"
"763_at","CA5A"
"765_at_AB_1:9","CA6"
"765_at_AB_10:24","CA6"
"766_at","CA7"
"767_at","CA8"
"768_at","CA9"
"770_at","CA11"
